,datetime,title,source,link
15,12/4/2025 11:52:44 AM,James Hardie (JHX) Facing Class Action after Customer Demand Claims Raise Investor Concerns,TipRanks,/news/stocks/james-hardie-jhx-facing-class-action-after-customer-demand-claims-raise-investor-concerns-1035619134
16,12/1/2025 12:05:24 AM,Morgans Keeps Their Buy Rating on James Hardie (JHIUF),TipRanks,/news/stocks/morgans-keeps-their-buy-rating-on-james-hardie-jhiuf-1035605232
17,11/26/2025 11:35:28 PM,Macquarie Sticks to Its Buy Rating for James Hardie (JHIUF),TipRanks,/news/stocks/macquarie-sticks-to-its-buy-rating-for-james-hardie-jhiuf-1035599478
18,11/25/2025 1:45:55 PM,Truist Financial Sticks to Their Buy Rating for James Hardie Industries PLC (JHX),TipRanks,/news/stocks/truist-financial-sticks-to-their-buy-rating-for-james-hardie-industries-plc-jhx-1035594937
19,11/20/2025 4:05:44 PM,James Hardie management to meet with Truist,TipRanks,/news/stocks/james-hardie-management-to-meet-with-truist-1035583757
20,11/20/2025 1:46:23 AM,James Hardie (JHIUF) Gets a Hold from RBC Capital,TipRanks,/news/stocks/james-hardie-jhiuf-gets-a-hold-from-rbc-capital-1035580569
21,11/20/2025 12:35:17 AM,James Hardie (JHIUF) Gets a Hold from UBS,TipRanks,/news/stocks/james-hardie-jhiuf-gets-a-hold-from-ubs-1035580477
22,11/20/2025 12:05:48 AM,James Hardie (JHIUF) Gets a Buy from Jarden,TipRanks,/news/stocks/james-hardie-jhiuf-gets-a-buy-from-jarden-1035580411
23,11/20/2025 12:05:41 AM,Ord Minnett Reaffirms Their Hold Rating on James Hardie (JHIUF),TipRanks,/news/stocks/ord-minnett-reaffirms-their-hold-rating-on-james-hardie-jhiuf-1035580413
24,11/19/2025 10:35:29 PM,Positive Report for James Hardie (JHIUF) from Morgans,TipRanks,/news/stocks/positive-report-for-james-hardie-jhiuf-from-morgans-1035579989
25,11/19/2025 1:21:39 PM,James Hardie price target raised to $30 from $28 at Oppenheimer,TipRanks,/news/stocks/james-hardie-price-target-raised-to-30-from-28-at-oppenheimer-1035578959
26,11/19/2025 12:11:26 PM,James Hardie upgraded to Buy from Hold at Vertical Research,TipRanks,/news/stocks/james-hardie-upgraded-to-buy-from-hold-at-vertical-research-1035578761
27,11/19/2025 12:11:05 PM,James Hardie price target lowered to $26 from $28 at Baird,TipRanks,/news/stocks/james-hardie-price-target-lowered-to-26-from-28-at-baird-1035578765
28,11/19/2025 12:05:47 AM,Morgan Stanley Keeps Their Buy Rating on James Hardie (JHIUF),TipRanks,/news/stocks/morgan-stanley-keeps-their-buy-rating-on-james-hardie-jhiuf-1035576189
29,11/18/2025 11:35:47 PM,Macquarie Sticks to Their Buy Rating for James Hardie (JHIUF),TipRanks,/news/stocks/macquarie-sticks-to-their-buy-rating-for-james-hardie-jhiuf-1035576055
30,11/18/2025 5:01:05 PM,"Midday Fly By: Microsoft, Nvidia invest in Anthropic",TipRanks,/news/stocks/midday-fly-by-microsoft-nvidia-invest-in-anthropic-1035575314
31,11/18/2025 3:06:36 PM,James Hardie rises 7.2%,TipRanks,/news/stocks/james-hardie-rises-7-2-1035575007
32,11/18/2025 1:40:13 PM,Analysts Offer Insights on Materials Companies: James Hardie Industries PLC (JHX) and NioCorp Developments (NB),TipRanks,/news/stocks/analysts-offer-insights-on-materials-companies-james-hardie-industries-plc-jhx-and-niocorp-developments-nb-1035574685
33,11/18/2025 12:35:23 AM,Citi Keeps Their Buy Rating on James Hardie (JHIUF),TipRanks,/news/stocks/citi-keeps-their-buy-rating-on-james-hardie-jhiuf-1035571990
34,11/17/2025 9:50:17 PM,"James Hardie Industries plc Non-GAAP EPS of $0.26 beats by $0.01, revenue of $1.3B beats by $20M",Seeking Alpha,https://seekingalpha.com/news/4523125-james-hardie-industries-plc-non-gaap-eps-of-0_26-beats-by-0_01-revenue-of-1_3b-beats-by-20m?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
35,11/17/2025 9:50:12 PM,James Hardie provides FY26 guidance,TipRanks,/news/stocks/james-hardie-provides-fy26-guidance-1035571700
36,11/17/2025 9:45:28 PM,"James Hardie CFO Rachel Wilson steps down, Ryan Lada to succeed",TipRanks,/news/stocks/james-hardie-cfo-rachel-wilson-steps-down-ryan-lada-to-succeed-1035571704
37,11/17/2025 9:45:22 PM,"James Hardie reports Q2 EPS (10c), consensus 25c",TipRanks,/news/stocks/james-hardie-reports-q2-eps-10c-consensus-25c-1035571705
38,11/11/2025 12:05:21 AM,James Hardie (JHIUF) was upgraded to a Hold Rating at Ord Minnett,TipRanks,/news/stocks/james-hardie-jhiuf-was-upgraded-to-a-hold-rating-at-ord-minnett-1035539780
39,11/4/2025 11:11:11 AM,James Hardie upgraded to Buy from Neutral at Citi,TipRanks,/news/stocks/james-hardie-upgraded-to-buy-from-neutral-at-citi-1035486838
